_id,date,gender,race,agebook,agecurr
264,1/1/2018,M,B,32,32
265,1/1/2018,M,B,33,33
266,1/1/2018,M,W,33,33
267,1/1/2018,M,B,33,33
268,1/1/2018,M,B,22,22
269,1/1/2018,M,W,21,21
270,1/1/2018,M,B,27,30
271,1/1/2018,M,W,25,26
272,1/1/2018,M,W,64,66
273,1/1/2018,M,W,29,30
274,1/1/2018,M,B,19,20
275,1/1/2018,M,B,26,27
276,1/1/2018,M,B,43,44
277,1/1/2018,M,B,35,36
278,1/1/2018,M,B,35,36
279,1/1/2018,M,B,28,29
280,1/1/2018,M,B,23,24
281,1/1/2018,M,B,18,19
282,1/1/2018,M,W,25,25
283,1/1/2018,M,W,41,42
284,1/1/2018,M,B,35,36
285,1/1/2018,M,B,24,25
286,1/1/2018,M,B,27,27
287,1/1/2018,M,B,21,22
288,1/1/2018,M,W,44,44
289,1/1/2018,M,x,29,29
290,1/1/2018,M,B,41,41
291,1/1/2018,M,W,18,19
292,1/1/2018,M,B,23,23
293,1/1/2018,M,W,40,41
294,1/1/2018,M,B,50,51
295,1/1/2018,M,B,26,26
296,1/1/2018,M,H,38,39
297,1/1/2018,M,W,33,33
298,1/1/2018,M,W,58,58
299,1/1/2018,M,B,33,34
300,1/1/2018,M,B,29,30
301,1/1/2018,M,B,53,53
302,1/1/2018,M,W,21,22
303,1/1/2018,M,B,59,59
304,1/1/2018,M,W,49,49
305,1/1/2018,M,B,21,21
306,1/1/2018,M,W,25,25
307,1/1/2018,M,W,34,34
308,1/1/2018,M,W,50,50
309,1/1/2018,M,W,20,20
310,1/1/2018,M,B,63,63
311,1/1/2018,M,B,55,55
312,1/1/2018,M,B,34,34
313,1/1/2018,M,W,28,28
314,1/1/2018,M,W,31,31
315,1/1/2018,M,H,40,40
316,1/1/2018,M,W,61,62
317,1/1/2018,M,x,22,22
318,1/1/2018,M,B,28,28
319,1/1/2018,M,B,28,28
320,1/1/2018,M,B,41,41
321,1/1/2018,M,W,49,49
322,1/1/2018,M,W,23,23
323,1/1/2018,M,W,42,42
324,1/1/2018,M,B,33,34
325,1/1/2018,M,B,22,22
326,1/1/2018,M,W,27,27
327,1/1/2018,M,B,27,27
328,1/1/2018,M,B,41,41
329,1/1/2018,M,W,46,46
330,1/1/2018,M,B,46,47
331,1/1/2018,M,W,22,22
332,1/1/2018,M,B,38,39
333,1/1/2018,M,W,33,33
334,1/1/2018,M,B,36,36
335,1/1/2018,M,B,20,20
336,1/1/2018,M,W,19,19
337,1/1/2018,M,W,25,25
338,1/1/2018,M,W,34,34
339,1/1/2018,M,W,29,29
340,1/1/2018,M,W,52,53
